,,,,,,,Stem,Stem,Stem,Plant Angle,,Clump,Transect,Tallest Stem,,,Flowering Intensity,,,Senesced
,,,,,,,Diameter,Diameter,Diameter,inside ,outside,Diameter mm,Count,Ligule,True leaf,Flower,<50,>50,>80,>80
,,,,,,,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date
,,,,,,,51112,51112,51112,10213,10213,131112,291012,271112,271112,271112,271112,271112,271112,271112
,,,,,,,,,,,,,,,,,,,,
BLOCK,ROW,COLUMN,UID,Mx Number,Block,,StemDiam1,StemDiam2,StemDiam3,AngleInside,AngleOutside,ClumpDiam,TransectCount,TallestStemLigule,TallestStemTrueLeaf,TallestStemFlower,FloweringIntensityLessThan50,FloweringIntensityGreaterThan50,FloweringIntensityGreaterThan80,SenescedGreaterThan80
3,1,7,28056, - Mx 1553#51,3,,4.3,2.1,3.4,0,10,160,16,67,62,,y,,,y
3,1,8,28065, - Mx 1553#46,3,,4.6,4.2,6.1,0,15,410,11,104,98,,y,,,y
3,1,9,28074, - Mx 1553#56,3,,3.5,5.5,5.1,0,10,240,15,133,113,133,,y,,y
3,1,10,28083, - Mx 1553#3,3,,5.4,5.6,4.3,0,15,160,12,57,57,,0,,,y
3,1,11,28092, - Mx 1553#32,3,,3,2.7,1.8,0,15,270,14,45,45,,0,,,y
3,1,12,28101, - Mx 1553#68,3,,5.3,4.7,6.7,0,10,260,6,114,91,114,,,y,y
3,2,12,28102, - Mx 1553#5,3,,3.7,2.8,4.3,5,15,180,4,14,14,,0,,,y
3,2,11,28093, - Mx 1553#55,3,,4.5,7,3.8,0,10,350,17,153,123,153,,,y,y
3,2,10,28084, - Mx 1553#70,3,,4.9,5.4,4.7,0,10,260,24,163,136,164,,,y,y
3,2,9,28075, - Mx 1553#24,3,,4.9,5.4,4.2,0,5,210,14,145,118,145,,,y,y
3,2,8,28066, - Mx 1553#93,3,,5.4,5,3.4,0,5,240,18,165,150,167,,,y,y
3,2,7,28057, - Mx 1553#113,3,,4.3,3.2,5.6,5,10,300,14,139,112,139,,,y,y
3,2,6,28050, - Mx 1553#48,3,,2.3,2.4,4.9,0,10,330,11,88,88,,0,,,y
3,2,5,28041, - Mx 1553#9,3,,3.3,2.3,1.4,0,10,80,3,32,32,,0,,,y
3,2,4,28033, - Mx 1553#57,3,,4.1,5.8,4.2,0,10,340,11,124,97,124,,,y,y
3,2,3,aBR 15 fS B3-R2 C3, - Mx 1553#78,3,,0,0,0,0,0,0,0,0,0,,0,0,0,0
3,2,2,28016, - Mx 1553#108,3,,3.4,4.6,3.5,0,10,270,14,114,85,126,,,y,y
3,2,1,28007, - Mx 1553#23,3,,4.7,3.9,5.4,0,15,200,17,139,112,141,,,y,y
3,3,1,28008, - Mx 1553#101,3,,4.5,3.1,4.2,0,5,220,14,143,134,143,,y,,y
3,3,2,aBR 15 fS B3-R3 C2, - Goliath,3,,6.1,7.2,6.6,0,10,180,9,151,126,151,,,y,y
3,3,3,28025, - Mx 1553#34,3,,3.2,3.4,3.7,0,10,220,18,69,69,,0,,,y
3,3,4,aBR 15 fS B3-R3 C4, - Goliath,3,,6.8,6.7,7,0,10,190,8,152,123,155,,,y,y
3,3,5,28042, - Mx 1553#119,3,,3.6,3.4,4.8,0,5,380,17,138,128,138,,,y,y
3,3,6,28051, - Mx 1553#2,3,,5.4,4.1,5.2,0,5,250,16,122,101,122,,y,,y
3,3,7,28058, - Mx 1553#37,3,,3.4,6.3,4.3,0,5,350,14,125,103,135,,,y,y
3,3,8,28067, - Mx 1553#28,3,,2.8,4.2,3.7,0,5,240,14,134,112,134,,y,,y
3,3,9,28076, - Mx 1553#47,3,,3.7,3.6,4,0,15,250,20,132,113,132,,,y,y
3,3,10,28085, - Mx 1553#87,3,,4.4,4,4.6,0,5,230,13,140,115,140,,y,,y
3,3,11,28094, - Mx 1553#80,3,,4.2,3.8,4,0,5,280,13,120,96,120,,,y,y
3,3,12,28103, - Mx 1553#41,3,,4.2,3.1,4,0,10,270,22,143,125,143,,,y,y
3,4,12,28104, - Mx 1553#110,3,,4.8,4.5,3.8,0,5,310,17,162,140,162,,,y,y
3,4,11,28095, - Mx 1553#75,3,,5.4,4.2,6.4,0,15,230,9,63,63,,0,,,y
3,4,10,28086, - Mx 1553#117,3,,3.7,4,5.6,0,10,370,18,125,103,125,,,y,y
3,4,9,28077, - Mx 1553#7,3,,2.5,4.2,4.3,0,5,240,17,98,94,,,y,,y
3,4,8,28068, - Mx 1553#115,3,,4.7,5.1,3.9,0,10,280,4,105,71,110,,,y,y
3,4,7,28059, - Mx 1553#103,3,,5.3,5.8,5.4,0,5,390,17,135,115,135,,,y,y
3,4,6,28052, - Mx 1553#43,3,,5.9,5.4,4.1,0,10,350,23,160,131,170,,,y,y
3,4,5,28043, - Mx 1553#90,3,,6.5,4.4,3.9,15,25,350,9,54,45,,0,,,y
3,4,4,28034, - Mx 1553#25,3,,3.7,4.5,7.2,0,15,280,20,47,47,,0,,,y
3,4,3,28026, - Mx 1553#1,3,,3.7,2.8,4.7,0,10,320,25,97,97,,0,,,y
3,4,2,28017, - Mx 1553#45,3,,3.2,2.6,2.5,0,5,220,8,81,55,89,,,y,y
3,4,1,28009, - Mx 1553#86,3,,3.6,4.9,3.5,0,5,260,9,119,94,119,,,y,y
3,5,1,28010, - Mx 1553#98,3,,3.6,2.9,3.4,0,5,240,12,48,48,,0,,,y
3,5,2,28018, - Mx 1553#94,3,,5.4,4.1,5.9,0,10,200,13,148,119,148,,,y,y
3,5,3,28027, - Mx 1553#59,3,,3.8,3,4.8,0,10,320,17,81,81,,0,,,y
3,5,4,28035, - Mx 1553#22,3,,3.1,4.1,3.8,0,10,430,20,158,128,158,,,y,y
3,5,5,28044, - Mx 1553#92,3,,4.4,4.1,4.9,0,10,450,11,124,103,124,,,y,y
3,5,6,aBR 15 fS B3-R5 C6, - Goliath,3,,7.1,6.7,8.1,0,10,210,10,143,128,156,,,y,y
3,5,7,28060, - Mx 1553#81,3,,4.3,4,3,0,5,220,8,110,86,110,,,y,y
3,5,8,28069, - Mx 1553#16,3,,4.4,5.1,5.1,0,5,200,17,118,95,129,,,y,y
3,5,9,28078, - Mx 1553#77,3,,5.4,4.2,5.6,0,10,250,18,158,135,158,,,y,y
3,5,10,28087, - Mx 1553#109,3,,6.2,5.7,4.3,0,5,170,12,143,130,143,,,y,y
3,5,11,28096, - Mx 1553#44,3,,5.3,4.6,3.9,0,25,160,13,47,47,,0,,,y
3,5,12,28105, - Mx 1553#50,3,,4.5,5.5,2.7,0,15,340,23,56,56,,0,,,y
3,6,12,aBR 15 fS B3-R6 C12, - Goliath,3,,6.9,6.3,6.3,0,15,160,6,119,92,124,,,y,y
3,6,11,28097, - Mx 1553#61,3,,4.2,3.6,5.1,0,10,210,19,109,95,,,,y,y
3,6,10,28088, - Mx 1553#53,3,,4.5,3.3,4.4,0,10,310,23,156,135,156,,,y,y
3,6,9,28079, - Mx 1553#63,3,,3.8,3.8,4.3,0,15,240,22,140,126,140,,,y,y
3,6,8,28070, - Mx 1553#26,3,,3.3,5.8,2.8,5,10,160,2,29,29,,0,,,y
3,6,7,28061, - Mx 1553#74,3,,4.4,3.8,4,0,5,280,11,145,113,145,,,y,y
3,6,6,28053, - Mx 1553#18,3,,3.7,2.9,3.6,0,10,270,26,127,106,127,,,y,y
3,6,5,28045, - Mx 1553#49,3,,3.9,4.7,4.3,0,10,430,17,155,129,155,,,y,y
3,6,4,28036, - Mx 1553#15,3,,4.9,4.5,3.3,0,5,330,14,167,138,170,,,y,y
3,6,3,28028, - Mx 1553#114,3,,2.7,2.2,3.1,0,15,110,11,26,26,,0,,,y
3,6,2,28019, - Mx 1553#10,3,,3.6,3.7,4.7,0,10,240,20,150,133,150,,,y,y
3,6,1,28011, - Mx 1553#120,3,,4.5,3.5,4.3,0,15,250,24,104,90,104,,,y,y
3,7,1,28012, - Mx 1553#102,3,,4.7,3.8,3.1,0,5,310,11,126,98,126,,,y,y
3,7,2,28020, - Mx 1553#11,3,,4.1,4.3,5.9,0,10,430,17,150,132,150,,,y,y
3,7,3,28029, - Mx 1553#105,3,,4.1,4.8,5.5,0,5,340,13,162,137,175,,,y,y
3,7,4,28037, - Mx 1553#112,3,,6.4,4.9,5.3,5,10,170,3,40,40,,0,,,y
3,7,5,28046, - Mx 1553#69,3,,4.3,3.2,3.5,0,10,330,32,146,133,146,,,y,y
3,7,6,28054, - Mx 1553#12,3,,4.6,2.9,3.5,0,10,270,28,140,109,144,,,y,y
3,7,7,28062, - Mx 1553#76,3,,5.2,4,3.9,0,5,240,11,148,124,148,,,y,y
3,7,8,28071, - Mx 1553#11,3,,5.7,4.7,4.9,0,10,330,13,140,123,140,,,y,y
3,7,9,28080, - Mx 1553#36,3,,4.9,6.1,5.1,0,15,280,16,168,154,168,y,,,y
3,7,10,28089, - Mx 1553#104,3,,5.6,3.2,4.2,0,5,300,10,145,120,145,,,y,y
3,7,11,28098, - Mx 1553#27,3,,5,3.8,3.9,0,10,310,12,54,54,,0,,,y
3,7,12,28106, - Mx 1553#89,3,,4.2,4.5,5.3,0,5,350,17,150,128,167,,,y,y
3,8,12,28107, - Mx 1553#19,3,,4.2,3.9,3,0,10,190,16,128,97,128,,,y,y
3,8,11,28099, - Mx 1553#88,3,,3.3,4.6,3.8,0,10,440,18,135,110,135,,,y,y
3,8,10,28090, - Mx 1553#66,3,,4.2,5.2,5,0,10,180,4,47,47,,0,,,y
3,8,9,28081, - Mx 1553#40,3,,4.2,3.2,5,0,5,360,15,76,76,,0,,,y
3,8,8,28072, - Mx 1553#84,3,,6.1,4.5,7,0,5,320,7,140,117,140,,,y,y
3,8,7,28063, - Mx 1553#20,3,,4.6,3.7,4.1,0,10,210,7,62,62,,0,,,y
3,8,6,28055, - Mx 1553#118,3,,5.7,6.4,3.3,5,15,140,9,32,32,,0,,,y
3,8,5,28047, - Mx 1553#17,3,,5.8,2.7,4.6,0,5,200,7,147,114,147,,,y,y
3,8,4,28038, - Mx 1553#71,3,,4.8,3.4,4.4,0,10,260,20,130,112,130,,,y,y
3,8,3,28030, - Mx 1553#97,3,,0,0,0,0,0,0,0,,0,0,0,0,0,0
3,8,2,28021, - Mx 1553#4,3,,4.5,5,3.5,0,10,270,19,119,102,119,,,y,y
3,8,1,28013, - Mx 1553#72,3,,3.1,3.6,4.5,0,10,290,25,153,138,153,,,y,y
3,9,1,28014, - Mx 1553#6,3,,3.6,4.5,5.7,0,5,320,15,160,135,160,,,y,y
3,9,2,28022, - Mx 1553#100,3,,3,4.8,3.3,0,5,260,10,145,119,150,,,y,y
3,9,3,28031, - Mx 1553#99,3,,5.1,4.7,4.9,0,5,190,13,128,106,128,,,y,y
3,9,4,28039, - Mx 1553#60,3,,3.8,3.9,4.1,0,10,220,23,119,96,119,,y,,y
3,9,5,28048, - Mx 1553#95,3,,4,4.3,4.9,0,10,360,20,147,125,151,,,y,y
3,9,6,aBR 15 fS B3-R9 C6,giganteus,3,,2,3.7,4.6,0,15,170,15,43,43,,0,,,y
3,9,7,28064, - Mx 1553#39,3,,5.1,4.6,4.8,0,10,290,18,150,137,150,,,y,y
3,9,8,28073, - Mx 1553#67,3,,3.3,4.1,4.8,0,10,240,12,97,88,,y,,,y
3,9,9,28082, - Mx 1553#42,3,,3.6,4,4.2,0,5,190,10,108,80,120,,,y,y
3,9,10,28091, - Mx 1553#35,3,,4.4,4.7,5.4,0,10,300,16,75,75,,0,,,y
3,9,11,28100, - Mx 1553#8,3,,5.7,5.5,5.3,0,5,320,21,106,106,,0,,,y
3,9,12,28108, - Mx 1553#82,3,,3.8,4.7,4.9,0,15,480,30,181,155,181,,,y,y
