No.,Batch,UID,Trial,Mx#,Rep,Row,Col,Live,FW wt,FS wt,DS wt,,MC%,DW%,Whole DW,,,* Some unusual results - in that the sub samples
236,B39,28041,ABR 15 FS,  Mx 1553#9,Block 3,R2,C5,1,4,4,3,,25.0,75.0,3.0,,,
237,B39,28033,ABR 15 FS,  Mx 1553#57,Block 3,R2,C4,1,147,116,79,,31.9,68.1,100.1,,,
238,B39,28024,ABR 15 FS,  Mx 1553#78,Block 3,R2,C3,0,0,0,0,,,,,,,
239,B39,28016,ABR 15 FS,  Mx 1553#108,Block 3,R2,C2,1,142,105,77,,26.7,73.3,104.1,,,
240,B39,28007,ABR 15 FS,  Mx 1553#23,Block 3,R2,C1,1,361,156,118,,24.4,75.6,273.1,,,
241,B39,28008,ABR 15 FS,  Mx 1553#101,Block 3,R3,C1,1,381,126,86,,31.7,68.3,260.0,,,
242,B39,61705,ABR 15 FS,  Goliath,Block 3,R3,C2,1,335,142,96.3,,32.2,67.8,227.2,,,
243,B39,28025,ABR 15 FS,  Mx 1553#34,Block 3,R3,C3,1,314,146,82,,43.8,56.2,176.4,,,
244,B39,61706,ABR 15 FS,  Goliath,Block 3,R3,C4,1,238.8,124,89.2,,28.1,71.9,171.8,,,
245,B39,28042,ABR 15 FS,  Mx 1553#119,Block 3,R3,C5,1,421,155,117,,24.5,75.5,317.8,,,
246,B39,28051,ABR 15 FS,  Mx 1553#2,Block 3,R3,C6,1,240,129,94,,27.1,72.9,174.9,,,
247,B39,28058,ABR 15 FS,  Mx 1553#37,Block 3,R3,C7,1,173,121,92,,24.0,76.0,131.5,,,
248,B39,28067,ABR 15 FS,  Mx 1553#28,Block 3,R3,C8,1,181,113,86,,23.9,76.1,137.8,,,
249,B39,28076,ABR 15 FS,  Mx 1553#47,Block 3,R3,C9,1,400,175,134,,23.4,76.6,306.3,,,
250,B39,28085,ABR 15 FS,  Mx 1553#87,Block 3,R3,C10,1,214,123,97,,21.1,78.9,168.8,,,
251,B39,28094,ABR 15 FS,  Mx 1553#80,Block 3,R3,C11,1,220,116,89,,23.3,76.7,168.8,,,
252,B39,28103,ABR 15 FS,  Mx 1553#41,Block 3,R3,C12,1,580,203,137,,32.5,67.5,391.4,,,
253,B39,28104,ABR 15 FS,  Mx 1553#110,Block 3,R4,C12,1,388,143,119,,16.8,83.2,322.9,,,
254,B39,28095,ABR 15 FS,  Mx 1553#75,Block 3,R4,C11,1,136,108,72,,33.3,66.7,90.7,,,
255,B39,28086,ABR 15 FS,  Mx 1553#117,Block 3,R4,C10,1,277,140,108,,22.9,77.1,213.7,,,
256,B39,28077,ABR 15 FS,  Mx 1553#7,Block 3,R4,C9,1,213,149,107,,28.2,71.8,153.0,,,
257,B39,28068,ABR 15 FS,  Mx 1553#115,Block 3,R4,C8,1,37,32,25,,21.9,78.1,28.9,,,
258,B39,28059,ABR 15 FS,  Mx 1553#103,Block 3,R4,C7,1,470,172,132,,23.3,76.7,360.7,,,
259,B39,28052,ABR 15 FS,  Mx 1553#43,Block 3,R4,C6,1,429,144,115,,20.1,79.9,342.6,,,
260,B39,28043,ABR 15 FS,  Mx 1553#90,Block 3,R4,C5,1,97,97,61,,37.1,62.9,61.0,,,
261,B39,28034,ABR 15 FS,  Mx 1553#25,Block 3,R4,C4,1,324,211,133,,37.0,63.0,204.2,,,
262,B39,28026,ABR 15 FS,  Mx 1553#1,Block 3,R4,C3,1,431,179,140,,21.8,78.2,337.1,,,
263,B39,28017,ABR 15 FS,  Mx 1553#45,Block 3,R4,C2,1,18,18,13,,27.8,72.2,13.0,,,
264,B39,28009,ABR 15 FS,  Mx 1553#86,Block 3,R4,C1,1,123,104,69,,33.7,66.3,81.6,,,
265,B39,28010,ABR 15 FS,  Mx 1553#98,Block 3,R5,C1,1,75,75,46,,38.7,61.3,46.0,,,
266,B39,28018,ABR 15 FS,  Mx 1553#94,Block 3,R5,C2,1,147,110,79,,28.2,71.8,105.6,,,
267,B39,28027,ABR 15 FS,  Mx 1553#59,Block 3,R5,C3,1,324,142,109,,23.2,76.8,248.7,,,
268,B39,28035,ABR 15 FS,  Mx 1553#22,Block 3,R5,C4,1,472,165,130,,21.2,78.8,371.9,,,
269,B39,28044,ABR 15 FS,  Mx 1553#92,Block 3,R5,C5,1,201,177,120,,32.2,67.8,136.3,,,
270,B39,61707,ABR 15 FS,  Goliath,Block 3,R5,C6,1,527,141.9,104.4,,26.4,73.6,387.7,,,
271,B39,28060,ABR 15 FS,  Mx 1553#81,Block 3,R5,C7,1,64,56,40,,28.6,71.4,45.7,,,
272,B39,28069,ABR 15 FS,  Mx 1553#16,Block 3,R5,C8,1,261,144,99,,31.3,68.8,179.4,,,
