No.,Batch,UID,Trial,Mx#,Rep,Row,Col,Live,FW wt,FS wt,DS wt,,MC%,DW%,Whole DW,,
243,B24,28025,ABR 15 FS,  Mx 1553#34,Block 3,R3,C3,1,49,47,36,,23.4,76.6,37.5,,2
244,B24,61706,ABR 15 FS,  Goliath,Block 3,R3,C4,1,38.3,33.9,24.3,,28.3,71.7,27.5,,4.4
245,B24,28042,ABR 15 FS,  Mx 1553#119,Block 3,R3,C5,1,52,50,43,,14,86,44.7,,2
246,B24,28051,ABR 15 FS,  Mx 1553#2,Block 3,R3,C6,1,46,46,36,,21.7,78.3,36,,0
247,B24,28058,ABR 15 FS,  Mx 1553#37,Block 3,R3,C7,1,32,29,22,,24.1,75.9,24.3,,3
248,B24,28067,ABR 15 FS,  Mx 1553#28,Block 3,R3,C8,1,15,15,12,,20,80,12,,0
249,B24,28076,ABR 15 FS,  Mx 1553#47,Block 3,R3,C9,1,97,77,61,,20.8,79.2,76.8,,20
250,B24,28085,ABR 15 FS,  Mx 1553#87,Block 3,R3,C10,1,39,38,28,,26.3,73.7,28.7,,1
251,B24,28094,ABR 15 FS,  Mx 1553#80,Block 3,R3,C11,1,10,11,9,,18.2,81.8,8.2,,-1
252,B24,28103,ABR 15 FS,  Mx 1553#41,Block 3,R3,C12,1,120,96,79,,17.7,82.3,98.8,,24
253,B24,28104,ABR 15 FS,  Mx 1553#110,Block 3,R4,C12,1,71,62,54,,12.9,87.1,61.8,,9
254,B24,28095,ABR 15 FS,  Mx 1553#75,Block 3,R4,C11,1,14,13,10,,23.1,76.9,10.8,,1
255,B24,28086,ABR 15 FS,  Mx 1553#117,Block 3,R4,C10,1,60,55,43,,21.8,78.2,46.9,,5
256,B24,28077,ABR 15 FS,  Mx 1553#7,Block 3,R4,C9,1,37,33,27,,18.2,81.8,30.3,,4
257,B24,28068,ABR 15 FS,  Mx 1553#115,Block 3,R4,C8,1,5,5,4,,20,80,4,,0
258,B24,28059,ABR 15 FS,  Mx 1553#103,Block 3,R4,C7,1,38,35,30,,14.3,85.7,32.6,,3
259,B24,28052,ABR 15 FS,  Mx 1553#43,Block 3,R4,C6,1,73,72,58,,19.4,80.6,58.8,,1
260,B24,28043,ABR 15 FS,  Mx 1553#90,Block 3,R4,C5,1,14,14,9,,35.7,64.3,9,,0
261,B24,28034,ABR 15 FS,  Mx 1553#25,Block 3,R4,C4,1,39,38,27,,28.9,71.1,27.7,,1
262,B24,28026,ABR 15 FS,  Mx 1553#1,Block 3,R4,C3,1,78,75,54,,28,72,56.2,,3
263,B24,28017,ABR 15 FS,  Mx 1553#45,Block 3,R4,C2,1,1,1,1,,0,100,1,,0
264,B24,28009,ABR 15 FS,  Mx 1553#86,Block 3,R4,C1,1,9,9,7,,22.2,77.8,7,,0
265,B24,28010,ABR 15 FS,  Mx 1553#98,Block 3,R5,C1,1,3,3,3,,0,100,3,,0
266,B24,28018,ABR 15 FS,  Mx 1553#94,Block 3,R5,C2,1,15,14,11,,21.4,78.6,11.8,,1
267,B24,28027,ABR 15 FS,  Mx 1553#59,Block 3,R5,C3,1,41,39,33,,15.4,84.6,34.7,,2
268,B24,28035,ABR 15 FS,  Mx 1553#22,Block 3,R5,C4,1,113,89,72,,19.1,80.9,91.4,,24
269,B24,28044,ABR 15 FS,  Mx 1553#92,Block 3,R5,C5,1,27,26,20,,23.1,76.9,20.8,,1
270,B24,61707,ABR 15 FS,  Goliath,Block 3,R5,C6,1,42.1,37.3,28.3,,24.1,75.9,31.9,,4.8
271,B24,28060,ABR 15 FS,  Mx 1553#81,Block 3,R5,C7,1,8,8,8,,0,100,8,,0
272,B24,28069,ABR 15 FS,  Mx 1553#16,Block 3,R5,C8,1,32,32,23,,28.1,71.9,23,,0
273,B24,28078,ABR 15 FS,  Mx 1553#77,Block 3,R5,C9,1,199,129,107,,17.1,82.9,165.1,,70
274,B24,28087,ABR 15 FS,  Mx 1553#109,Block 3,R5,C10,1,50,46,36,,21.7,78.3,39.1,,4
275,B24,28096,ABR 15 FS,  Mx 1553#44,Block 3,R5,C11,1,29,28,20,,28.6,71.4,20.7,,1
276,B24,28105,ABR 15 FS,  Mx 1553#50,Block 3,R5,C12,1,28,27,22,,18.5,81.5,22.8,,1
277,B24,61708,ABR 15 FS,  Goliath,Block 3,R6,C12,1,8.1,8.1,5.6,,30.9,69.1,5.6,,0
278,B24,28097,ABR 15 FS,  Mx 1553#61,Block 3,R6,C11,1,34,33,27,,18.2,81.8,27.8,,1
279,B24,28088,ABR 15 FS,  Mx 1553#53,Block 3,R6,C10,1,165,132,117,,11.4,88.6,146.3,,33
280,B24,28079,ABR 15 FS,  Mx 1553#63,Block 3,R6,C9,1,124,95,77,,18.9,81.1,100.5,,29
281,B24,28070,ABR 15 FS,  Mx 1553#26,Block 3,R6,C8,1,1,1,1,,0,100,1,,0
282,B24,28061,ABR 15 FS,  Mx 1553#74,Block 3,R6,C7,1,14,13,9,,30.8,69.2,9.7,,1
283,B24,28053,ABR 15 FS,  Mx 1553#18,Block 3,R6,C6,1,67,58,45,,22.4,77.6,52,,9
284,B24,28045,ABR 15 FS,  Mx 1553#49,Block 3,R6,C5,1,52,50,36,,28,72,37.4,,2
285,B24,28036,ABR 15 FS,  Mx 1553#15,Block 3,R6,C4,1,60,59,46,,22,78,46.8,,1
286,B24,28028,ABR 15 FS,  Mx 1553#114,Block 3,R6,C3,1,17,16,12,,25,75,12.8,,1
287,B24,28019,ABR 15 FS,  Mx 1553#10,Block 3,R6,C2,1,87,60,49,,18.3,81.7,71.1,,27
288,B24,28011,ABR 15 FS,  Mx 1553#120,Block 3,R6,C1,1,75,67,47,,29.9,70.1,52.6,,8
